"","GEOID","MUNI","ln_POP","ln_TAX_BASE_PER_CAP","ln_MED_HH_INC","PCT_EDA_POP","SCORE_ln_POP","WT_SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","WT_SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","WT_SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP","WT_SCORE_PCT_EDA_POP","SCORE_OVERALL","SCORE_OVERALL_SCALED","COHORT"
"1","1700243","Addison",10.4829619886075,11.1076881323029,11.1350852514742,0.612,8,8,7,7,3,3,4,4,22,50,"2"
"2","1700685","Algonquin",10.2989023247908,10.9791160151827,11.6065888349819,0,8,8,7,7,8,8,10,10,33,80.5555555555556,"1"
"3","1701010","Alsip",9.85550456251398,10.8122005823785,10.9813527680594,0.167,7,7,6,6,2,2,9,9,24,55.5555555555556,"2"
"4","1701595","Antioch",9.59028252285326,10.8684463654559,11.5488619447745,0,6,6,6,6,7,7,10,10,29,69.4444444444444,"1"
"5","1702154","Arlington Heights",11.2603016083335,11.0000112531216,11.5151330265122,0.056,10,10,7,7,7,7,10,10,34,83.3333333333333,"1"
"6","1703012","Aurora",12.1037187166683,10.492567727054,11.2206863583258,0.44,10,10,4,4,4,4,6,6,24,55.5555555555556,"2"
"7","1703610","Bannockburn",6.92067150424868,12.6238169348653,11.6599047776169,0,1,1,10,10,8,8,10,10,29,69.4444444444444,"1"
"8","1703844","Barrington",9.28005298438748,11.6986977343966,11.633318425142,0,5,5,10,10,8,8,10,10,33,80.5555555555556,"1"
"9","1703883","Barrington Hills",8.3221510702129,11.6180700336379,11.9666345563722,0,3,3,9,9,10,10,10,10,32,77.7777777777778,"1"
"10","1704013","Bartlett",10.6238850475862,10.4483662106528,11.6080538100618,0,9,9,4,4,8,8,10,10,31,75,"1"
"11","1704078","Batavia",10.1696139620222,10.989868637297,11.492671735943,0,8,8,7,7,7,7,10,10,32,77.7777777777778,"1"
"12","1704303","Beach Park",9.56444200779579,9.91861310804132,11.1739500981309,0.424,6,6,2,2,4,4,6,6,18,38.8888888888889,"3"
"13","1704572","Bedford Park",6.40025744530882,14.1820801323792,11.5066558519566,0.005,1,1,10,10,7,7,10,10,28,66.6666666666667,"1"
"14","1704585","Beecher",8.45807992692373,10.3711574015953,11.3687779198825,0,3,3,4,4,6,6,10,10,23,52.7777777777778,"2"
"15","1704975","Bellwood",9.84102687119352,9.64698698211838,11.050985238934,0.704,7,7,1,1,3,3,3,3,14,27.7777777777778,"4"
"16","1705248","Bensenville",9.84230339921113,11.1113058993773,11.0728844399222,1,7,7,7,7,3,3,1,1,18,38.8888888888889,"3"
"17","1705404","Berkeley",8.58260632996447,10.0105186418473,11.1707872067224,0,3,3,2,2,4,4,10,10,19,41.6666666666667,"3"
"18","1705573","Berwyn",10.9551829214165,9.89554139277574,11.0335177556492,0.692,9,9,2,2,3,3,4,4,18,38.8888888888889,"3"
"19","1705976","Big Rock",7.00669522683704,10.758139439204,11.5747258658757,0,1,1,6,6,8,8,10,10,25,58.3333333333333,"2"
"20","1706587","Bloomingdale",10.016012343378,11.2386102192285,11.3782162361117,0.124,7,7,8,8,6,6,9,9,30,72.2222222222222,"1"
"21","1706704","Blue Island",10.0238450491999,9.7103426244977,10.8562837762226,1,7,7,1,1,2,2,1,1,11,19.4444444444444,"4"
"22","1707133","Bolingbrook",11.2107657622266,10.860846051253,11.4315418586938,0.139,10,10,6,6,6,6,9,9,31,75,"1"
"23","1707640","Braceville",6.58479139238572,10.0286647919134,11.2472266470539,0,1,1,2,2,4,4,10,10,17,36.1111111111111,"4"
"24","1707770","Braidwood",8.73133636053315,10.1701519209489,11.1132982829623,0.288,4,4,3,3,3,3,8,8,18,38.8888888888889,"3"
"25","1708225","Bridgeview",9.74255559842064,11.0369846646526,10.9169412921229,0.6,7,7,7,7,2,2,5,5,21,47.2222222222222,"2"
"26","1708446","Broadview",8.98694678940676,10.9764394102579,10.9066346493862,0,4,4,7,7,2,2,10,10,23,52.7777777777778,"2"
"27","1708576","Brookfield",9.87693821730259,10.1114617906062,11.3491233596132,0,7,7,2,2,6,6,10,10,25,58.3333333333333,"2"
"28","1709447","Buffalo Grove",10.6738735134369,10.9789593512563,11.6777701877129,0,9,9,7,7,9,9,10,10,35,86.1111111111111,"1"
"29","1709531","Bull Valley",7.028201432058,10.9542206604563,11.4674677420454,0,1,1,7,7,7,7,10,10,25,58.3333333333333,"2"
"30","1709642","Burbank",10.2900756048746,10.2151153023149,11.1569931023926,0.367,8,8,3,3,4,4,7,7,22,50,"2"
"31","1709759","Burlington",6.28226674689601,10.6510395904253,11.3001405769717,0,1,1,5,5,5,5,10,10,21,47.2222222222222,"2"
"32","1709798","Burnham",8.30548401772769,9.48207594622957,10.7446667319152,1,3,3,1,1,1,1,1,1,6,5.55555555555556,"4"
