Community Name,Median Income,Population,Tax Base Per Capita,Population in EDAs
Bellwood,55204.999999999985,18839.000000000004,14578.169594989115,0.8312
Berwyn,59800.99999999998,54917.00000000004,18305.255276143995,0.7257
Blue Island,41340.00000000003,23112.00000000002,14951.75597092419,1
Braceville,61249.99999999995,760.0000000000001,19989.43421052632,0
Broadview,53100.00000000002,7692.000000000003,52492.169656786304,0.6855
Burnham,43342.00000000003,4119.000000000001,12663.26608400098,1
Calumet City,42402.999999999985,36239.99999999999,24084.283498896253,1
Calumet Park,46250,7671.999999999997,18421.206856100107,0.5543
Chicago Heights,45843.00000000001,29570.99999999999,17771.306685604126,0.8007
Cicero,44109.999999999985,81596.99999999999,16405.09006458571,1
Dixmoor,39861.00000000001,3616.0000000000023,13052.3064159292,1
Dolton,44075.00000000004,22547.00000000001,14847.488978578085,1
East Hazel Crest,58815.99999999997,1511.0000000000005,18221.105228325618,0
Ford Heights,24112.999999999985,2704.999999999999,7445.2809611829925,1
Glenwood,57565.99999999998,8792,17295.666287534124,0.3665
Godley,55749.999999999985,736.9999999999999,7731.132971506105,0
Harvard,52585.00000000001,9129.999999999998,24340.164512595835,0.8187
Harvey,24342.999999999985,24640.99999999998,13007.565439714286,0.9999
Hazel Crest,54195.99999999998,13694.000000000007,13806.18088213816,0.6391
Hebron,53482.000000000044,1195.9999999999998,26336.27257525083,0
Highwood,55427.00000000001,5272.000000000001,37537.8186646434,0.984
Holiday Hills,71323.99999999997,579.0000000000002,14689.91537132989,0
Hometown,45926.00000000004,4221.999999999998,15002.247039317846,1
Justice,48355.00000000003,12709.999999999995,13952.382612116444,0.5551
Kaneville,66667.00000000003,485.99999999999994,20547.380658436225,0
Lisbon,60312.99999999999,310.99999999999994,19403.610932475895,0
Lynwood,52444.99999999998,9212.999999999993,17327.23998697494,1
Lyons,47226.00000000002,10469.000000000002,29715.255611806308,0.5723
Markham,35199.99999999997,12418,16875.630294733455,1
Maywood,47538.000000000015,23368.000000000004,11689.215380006854,0.9998
McCullom Lake,52916.99999999996,1009.9999999999995,13135.459405940603,0
Millington,66249.99999999996,667.9999999999998,16069.392215568854,0
North Chicago,41679.00000000002,29770.000000000004,15657.914578434673,0.9228
Park City,40431.00000000002,7457.000000000002,11603.18908408207,0.8071
Park Forest,50343.00000000004,21428.99999999999,7408.791824163523,0.8978
Phoenix,38452.00000000001,1924.9999999999993,8742.65402597402,1
Posen,42886.00000000002,5850.999999999999,16710.867031276706,1
Richton Park,53178.999999999985,13409.00000000001,17946.781117160113,0.3322
River Grove,46909.99999999997,9978.999999999995,31638.025052610497,0.6352
Riverdale,31932.999999999985,13205.000000000007,9430.531465354037,1
Robbins,30285.000000000025,5463.999999999997,7696.819546120063,1
Round Lake Heights,68462,2671.0000000000005,14995.478472482211,0.4159
Round Lake Park,46196.000000000015,7707.000000000006,12182.926560269876,0.7334
Sauk Village,41408,10346,9472.585926928281,1
South Chicago Heights,34270.99999999999,4042.0000000000014,37937.106382978694,1
Steger,44236.99999999996,9331.000000000005,16864.31572178759,0.2349
Stickney,62652.000000000044,6619.999999999996,21308.86012084592,1
Stone Park,41511.99999999997,4843.999999999999,16658.86932287367,1
Summit,47030.99999999999,11187.999999999998,23261.854218805853,1
University Park,48397.00000000003,6957.999999999996,22020.912043690696,0.4677
Waukegan,48550.99999999999,86791.99999999996,22396.357233385585,0.852
Zion,44885,23704.999999999996,18967.984349293405,0.4775
