"","GEOID","MUNI","ln_POP","ln_TAX_BASE_PER_CAP","ln_MED_HH_INC","PCT_EDA_POP","SCORE_ln_POP","WT_SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","WT_SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","WT_SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP","WT_SCORE_PCT_EDA_POP","SCORE_OVERALL","SCORE_OVERALL_SCALED","COHORT"
"261","1779267","Wauconda",9.55165799359387,10.6434362459442,11.5400541323585,0,6,6,5,5,7,7,10,10,28,66.6666666666667,"1"
"262","1779293","Waukegan",11.4047944483497,10.1680746611921,10.9826451533701,0.526,10,10,3,3,2,2,5,5,20,44.4444444444444,"3"
"263","1779397","Wayne",7.84306401669205,11.0060863702986,11.8758309586596,0,2,2,7,7,9,9,10,10,28,66.6666666666667,"1"
"264","1780060","West Chicago",10.1612643877447,10.6928693110253,11.3311517580791,0.761,8,8,5,5,5,5,3,3,21,47.2222222222222,"2"
"265","1780125","West Dundee",8.9614943233096,10.788443662625,11.510261920884,0,4,4,6,6,7,7,10,10,27,63.8888888888889,"2"
"266","1780047","Westchester",9.7313341246578,10.579708245335,11.4526551553778,0,7,7,5,5,6,6,10,10,28,66.6666666666667,"1"
"267","1780242","Western Springs",9.51414182630785,11.059813436081,12.1891197538775,0,6,6,7,7,10,10,10,10,33,80.5555555555556,"1"
"268","1780645","Westmont",10.1118016896043,11.2286168936509,11.2454903655229,0.422,8,8,8,8,4,4,6,6,26,61.1111111111111,"2"
"269","1781048","Wheaton",10.892322176886,10.8775392092089,11.5966874015755,0.094,9,9,6,6,7,7,10,10,32,77.7777777777778,"1"
"270","1781087","Wheeling",10.5739800425313,10.6007818534037,11.2162833711469,0.446,9,9,5,5,4,4,6,6,24,55.5555555555556,"2"
"271","1782049","Willow Springs",8.67829111175856,10.4729550370149,11.501459986861,0.132,4,4,4,4,7,7,9,9,24,55.5555555555556,"2"
"272","1781919","Willowbrook",9.12456459495478,11.4774310932926,11.4317371012834,0,5,5,9,9,6,6,10,10,30,72.2222222222222,"1"
"273","1782075","Wilmette",10.2362027402796,11.3252890631492,12.0666209050374,0.006,8,8,8,8,10,10,10,10,36,88.8888888888889,"1"
"274","1782101","Wilmington",8.60557030203365,10.7320930743744,10.9626484347766,0,3,3,5,5,2,2,10,10,20,44.4444444444444,"3"
"275","1782400","Winfield",9.19542975924043,10.7111308370903,11.7846153412037,0.095,5,5,5,5,9,9,10,10,29,69.4444444444444,"1"
"276","1782530","Winnetka",9.44604470533525,11.757329806845,12.4292201968364,0,6,6,10,10,10,10,10,10,36,88.8888888888889,"1"
"277","1782686","Winthrop Harbor",8.81403320165278,10.0769479025163,11.3566926189386,0,4,4,2,2,5,5,10,10,21,47.2222222222222,"2"
"278","1782855","Wonder Lake",8.3020178097512,10.0344575403923,11.4632308919464,0,3,3,2,2,6,6,10,10,21,47.2222222222222,"2"
"279","1782985","Wood Dale",9.54923823581223,11.1362575499019,11.2907689263986,0.662,6,6,8,8,4,4,4,4,22,50,"2"
"280","1783245","Woodridge",10.4388399214787,10.8218046798703,11.4229898164634,0,8,8,6,6,6,6,10,10,30,72.2222222222222,"1"
"281","1783349","Woodstock",10.1592531706676,10.5514234384478,11.2558760516262,0,8,8,4,4,4,4,10,10,26,61.1111111111111,"2"
"282","1783518","Worth",9.29734341559776,10.0983536150172,10.8980532767491,0.403,5,5,2,2,1,1,6,6,14,27.7777777777778,"4"
"283","1784038","Yorkville",9.92832649588305,10.6839499172295,11.5629434464919,0,7,7,5,5,7,7,10,10,29,69.4444444444444,"1"
"284","1784220","Zion",10.1129377767183,9.95871058082496,10.975601849898,0.495,8,8,2,2,2,2,6,6,18,38.8888888888889,"3"
