"","CCA_ID","CCA_NAME","ln_POP","ln_TAX_BASE_PER_CAP","ln_MED_HH_INC","PCT_EDA_POP","SCORE_ln_POP","WT_SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","WT_SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","WT_SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP","WT_SCORE_PCT_EDA_POP","SCORE_OVERALL","SCORE_OVERALL_SCALED","COHORT"
"1","14","Albany Park",14.8257971517598,10.3297633188371,11.1476074248755,0.434,10,10,3,3,4,4,6,6,23,52.7777777777778,"2"
"2","57","Archer Heights",14.8257971517598,10.3254840670831,10.795344259073,0.778,10,10,3,3,1,1,3,3,17,36.1111111111111,"4"
"3","34","Armour Square",14.8257971517598,10.4854554893736,10.5219829862176,0.752,10,10,4,4,1,1,3,3,18,38.8888888888889,"3"
"4","70","Ashburn",14.8257971517598,10.2685739997994,11.1837474233062,0.772,10,10,3,3,4,4,3,3,20,44.4444444444444,"3"
"5","71","Auburn Gresham",14.8257971517598,10.0200038530441,10.5316746267921,0.965,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"6","25","Austin",14.8257971517598,10.1019698721126,10.4788463900207,0.868,10,10,2,2,1,1,2,2,15,30.5555555555556,"4"
"7","45","Avalon Park",14.8257971517598,10.285548182103,10.9044597817522,0.879,10,10,3,3,2,2,2,2,17,36.1111111111111,"4"
"8","21","Avondale",14.8257971517598,10.5531584379358,11.2066177140002,0.318,10,10,4,4,4,4,7,7,25,58.3333333333333,"2"
"9","19","Belmont Cragin",14.8257971517598,10.1673003680492,10.9705764559458,0.962,10,10,3,3,2,2,1,1,16,33.3333333333333,"4"
"10","72","Beverly",14.8257971517598,10.7195288854397,11.608400720297,0.138,10,10,5,5,8,8,9,9,32,77.7777777777778,"1"
"11","60","Bridgeport",14.8257971517598,10.5404590127364,10.9796856225274,0.437,10,10,4,4,2,2,6,6,22,50,"2"
"12","58","Brighton Park",14.8257971517598,10.0079762342746,10.7316399653389,0.964,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"13","47","Burnside",14.8257971517598,10.3322883651937,10.5802983137764,0.704,10,10,3,3,1,1,3,3,17,36.1111111111111,"4"
"14","48","Calumet Heights",14.8257971517598,10.2722480482635,10.9581505210724,0.365,10,10,3,3,2,2,7,7,22,50,"2"
"15","44","Chatham",14.8257971517598,10.1616911806243,10.5930928584106,0.888,10,10,3,3,1,1,2,2,16,33.3333333333333,"4"
"16","66","Chicago Lawn",14.8257971517598,9.9011668380182,10.498962355699,0.963,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"17","64","Clearing",14.8257971517598,10.3651837011329,10.9710928976456,0.048,10,10,3,3,2,2,10,10,25,58.3333333333333,"2"
"18","35","Douglas",14.8257971517598,10.2300202050201,10.4855946889866,0.637,10,10,3,3,1,1,4,4,18,38.8888888888889,"3"
"19","17","Dunning",14.8257971517598,10.516335326636,11.2189002934791,0.463,10,10,4,4,4,4,6,6,24,55.5555555555556,"2"
"20","27","East Garfield Park",14.8257971517598,10.0733121350433,10.0461397591992,0.83,10,10,2,2,1,1,2,2,15,30.5555555555556,"4"
"21","52","East Side",14.8257971517598,9.97952686459871,10.8590639483111,0.678,10,10,2,2,2,2,4,4,18,38.8888888888889,"3"
"22","77","Edgewater",14.8257971517598,10.611439258641,10.973072233004,0.321,10,10,5,5,2,2,7,7,24,55.5555555555556,"2"
"23","9","Edison Park",14.8257971517598,10.8933833607787,11.6436091765289,0,10,10,6,6,8,8,10,10,34,83.3333333333333,"1"
"24","68","Englewood",14.8257971517598,9.90300241235662,10.00911977041,0.865,10,10,2,2,1,1,2,2,15,30.5555555555556,"4"
"25","12","Forest Glen",14.8257971517598,10.9920046617543,11.7715646480333,0.154,10,10,7,7,9,9,9,9,35,86.1111111111111,"1"
"26","37","Fuller Park",14.8257971517598,10.1509505814346,9.75364012964064,0.656,10,10,3,3,1,1,4,4,18,38.8888888888889,"3"
"27","63","Gage Park",14.8257971517598,9.89007640709826,10.6518679249886,0.928,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"28","56","Garfield Ridge",14.8257971517598,10.4797245556183,11.289853014655,0.211,10,10,4,4,5,5,8,8,27,63.8888888888889,"2"
"29","38","Grand Boulevard",14.8257971517598,10.1871904922035,10.5741523439466,0.66,10,10,3,3,1,1,4,4,18,38.8888888888889,"3"
"30","69","Greater Grand Crossing",14.8257971517598,10.090051732203,10.3126009682298,0.787,10,10,2,2,1,1,3,3,16,33.3333333333333,"4"
"31","55","Hegewisch",14.8257971517598,10.2640322486961,10.9655508110794,0.668,10,10,3,3,2,2,4,4,19,41.6666666666667,"3"
"32","20","Hermosa",14.8257971517598,10.1157462849533,10.9109552021511,0.919,10,10,2,2,2,2,1,1,15,30.5555555555556,"4"
"33","23","Humboldt Park",14.8257971517598,10.1168546653307,10.6343074439272,0.985,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"34","41","Hyde Park",14.8257971517598,10.5487900137952,10.8670924335516,0.291,10,10,4,4,2,2,8,8,24,55.5555555555556,"2"
"35","16","Irving Park",14.8257971517598,10.5846171243698,11.1850467711105,0.271,10,10,5,5,4,4,8,8,27,63.8888888888889,"2"
"36","11","Jefferson Park",14.8257971517598,10.6249625607419,11.2541296071362,0.25,10,10,5,5,5,5,8,8,28,66.6666666666667,"1"
"37","39","Kenwood",14.8257971517598,10.4551126599548,10.8654483212435,0.237,10,10,4,4,2,2,8,8,24,55.5555555555556,"2"
"38","6","Lake View",14.8257971517598,11.035277621077,11.4289046287641,0,10,10,7,7,6,6,10,10,33,80.5555555555556,"1"
"39","7","Lincoln Park",14.8257971517598,11.3740122770718,11.670340016201,0,10,10,9,9,8,8,10,10,37,91.6666666666667,"1"
"40","4","Lincoln Square",14.8257971517598,10.7490290179026,11.3009671101483,0.161,10,10,6,6,5,5,9,9,30,72.2222222222222,"1"
"41","22","Logan Square",14.8257971517598,10.7706864363632,11.3463205923455,0.064,10,10,6,6,5,5,10,10,31,75,"1"
"42","31","Lower West Side",14.8257971517598,10.3888714368411,11.0002518776376,0.475,10,10,4,4,2,2,6,6,22,50,"2"
"43","59","McKinley Park",14.8257971517598,10.357040927172,11.0318892780063,0.741,10,10,3,3,3,3,3,3,19,41.6666666666667,"3"
"44","18","Montclare",14.8257971517598,10.3188857382993,10.9310039195205,0.848,10,10,3,3,2,2,2,2,17,36.1111111111111,"4"
"45","75","Morgan Park",14.8257971517598,10.4278487841337,11.068778221198,0.517,10,10,4,4,3,3,5,5,22,50,"2"
"46","74","Mount Greenwood",14.8257971517598,10.573949661052,11.4902778855418,0,10,10,5,5,7,7,10,10,32,77.7777777777778,"1"
"47","8","Near North Side",14.8257971517598,11.7910750598183,11.5995542412509,0.106,10,10,10,10,8,8,9,9,37,91.6666666666667,"1"
"48","33","Near South Side",14.8257971517598,11.2857863994371,11.6612862665581,0,10,10,8,8,8,8,10,10,36,88.8888888888889,"1"
"49","28","Near West Side",14.8257971517598,11.2929393157589,11.4425298078009,0.223,10,10,8,8,6,6,8,8,32,77.7777777777778,"1"
"50","61","New City",14.8257971517598,10.0048259367886,10.4743637716457,0.969,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"51","5","North Center",14.8257971517598,11.1434639071893,11.8021373464943,0,10,10,8,8,9,9,10,10,37,91.6666666666667,"1"
"52","29","North Lawndale",14.8257971517598,9.96111203260264,10.3404704209647,0.907,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"53","13","North Park",14.8257971517598,10.5832794718572,11.0081300102308,0.763,10,10,5,5,2,2,3,3,20,44.4444444444444,"3"
"54","10","Norwood Park",14.8257971517598,10.761183008949,11.4128301791113,0.118,10,10,6,6,6,6,9,9,31,75,"1"
"55","76","O'Hare",14.8257971517598,10.9545661730673,11.0094225672068,0.329,10,10,7,7,2,2,7,7,26,61.1111111111111,"2"
"56","36","Oakland",14.8257971517598,10.1687879187729,10.5142745272822,0.668,10,10,3,3,1,1,4,4,18,38.8888888888889,"3"
"57","15","Portage Park",14.8257971517598,10.469202886696,11.2367589174338,0.482,10,10,4,4,4,4,6,6,24,55.5555555555556,"2"
"58","50","Pullman",14.8257971517598,10.3890452560981,10.7801373148944,0.453,10,10,4,4,1,1,6,6,21,47.2222222222222,"2"
"59","54","Riverdale",14.8257971517598,9.66764277885809,9.88720400690121,0.857,10,10,1,1,1,1,2,2,14,27.7777777777778,"4"
"60","1","Rogers Park",14.8257971517598,10.2435078139736,10.741689248837,0.743,10,10,3,3,1,1,3,3,17,36.1111111111111,"4"
"61","49","Roseland",14.8257971517598,10.0303944561057,10.692867330423,0.929,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"62","46","South Chicago",14.8257971517598,10.0142051607174,10.5915753722359,0.914,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"63","51","South Deering",14.8257971517598,10.2097920210211,10.3132049703828,0.972,10,10,3,3,1,1,1,1,15,30.5555555555556,"4"
"64","30","South Lawndale",14.8257971517598,9.84391857011421,10.5165018077272,0.98,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
"65","43","South Shore",14.8257971517598,10.0571673309822,10.4881241922547,0.965,10,10,2,2,1,1,1,1,14,27.7777777777778,"4"
