GEOID,MUNI,COHORT,WEIGHTED_SCORE,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP
1770122,Skokie,1,83.33333333333334,10,7,7,10
1770564,South Barrington,1,75,2,9,10,10
1770629,South Chicago Heights,4,13.88888888888889,2,5,1,1
1770850,South Holland,2,47.22222222222222,7,4,5,5
1772520,Steger,4,36.11111111111111,4,2,3,8
1772676,Stickney,4,25,3,3,6,1
1772923,Stone Park,4,8.333333333333332,2,2,2,1
1773157,Streamwood,1,69.44444444444444,9,4,8,8
1773638,Summit,4,22.22222222222222,5,3,3,1
1775185,Thornton,3,41.66666666666667,1,3,5,10
1775484,Tinley Park,1,80.55555555555556,10,6,7,10
1776935,University Park,4,30.555555555555557,3,3,3,6
1780047,Westchester,2,63.888888888888886,6,5,7,9
1780242,Western Springs,1,75,5,6,10,10
1781087,Wheeling,2,58.333333333333336,9,5,6,5
1782075,Wilmette,1,88.88888888888889,8,8,10,10
1782530,Winnetka,1,83.33333333333334,5,9,10,10
1783518,Worth,2,50,5,3,4,10
