GEOID,MUNI,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1735086,Hillside,7,7,4,10,7,58.333333333333336
1735307,Hinsdale,5,9,10,10,8,86.66666666666667
1735385,Hodgkins,10,10,3,10,10,68.88888888888889
1735411,Hoffman Estates,2,5,8,9,9,66.11111111111111
1735835,Homer Glen,3,6,9,10,10,77.22222222222223
1735866,Hometown,9,2,3,1,6,32.22222222222222
1735879,Homewood,4,6,7,7,2,51.66666666666667
1737257,Indian Head Park,9,5,8,10,10,81.11111111111111
1737608,Inverness,8,7,10,10,10,91.66666666666666
1738830,Justice,6,1,3,5,8,35.55555555555556
1739519,Kenilworth,10,9,10,10,10,98.33333333333333
1740767,La Grange,5,6,10,10,4,75
1740793,La Grange Park,6,4,9,7,4,63.888888888888886
1742028,Lansing,3,4,3,5,9,37.22222222222222
1742795,Lemont,5,6,9,10,8,77.22222222222223
1743744,Lincolnwood,6,8,9,10,1,70.55555555555556
1745421,Lynwood,7,2,4,1,10,40
1745434,Lyons,6,4,3,5,4,33.88888888888889
1747007,Markham,6,2,1,1,2,11.666666666666666
1747540,Matteson,4,6,8,9,2,59.44444444444444
1747774,Maywood,4,1,3,1,6,22.22222222222222
1745564,McCook,10,10,5,10,10,77.77777777777779
1748242,Melrose Park,3,6,3,2,5,28.888888888888886
1748554,Merrionette Park,10,6,4,10,5,58.333333333333336
1748892,Midlothian,5,3,5,7,8,49.44444444444444
1750647,Morton Grove,4,7,8,8,5,64.44444444444444
1751089,Mount Prospect,2,8,7,7,9,63.33333333333333
1753000,Niles,3,9,5,7,1,44.44444444444444
1753377,Norridge,5,7,6,10,1,53.888888888888886
1754144,North Riverside,8,9,5,10,8,69.44444444444444
1753481,Northbrook,3,9,10,10,3,75
1753663,Northfield,9,10,9,10,9,92.22222222222223
1753871,Northlake,6,6,4,8,5,48.333333333333336
1754534,Oak Brook,7,10,10,10,10,95
1754638,Oak Forest,3,3,7,10,8,60
1754820,Oak Lawn,1,5,5,7,2,36.11111111111111
1754885,Oak Park,2,4,8,10,7,62.77777777777778
1755938,Olympia Fields,9,6,9,10,4,77.22222222222223
1756627,Orland Hills,8,5,8,10,8,76.11111111111111
1756640,Orland Park,1,8,8,10,5,64.44444444444444
1757225,Palatine,1,5,7,9,9,60
1757381,Palos Heights,6,5,8,10,1,61.111111111111114
1757394,Palos Hills,5,3,5,7,4,42.77777777777778
1757407,Palos Park,9,7,8,10,5,76.11111111111111
1757732,Park Forest,4,1,4,2,3,23.333333333333332
1757875,Park Ridge,2,6,9,10,3,63.888888888888886
1759572,Phoenix,10,1,2,1,10,34.44444444444444
1761314,Posen,8,2,2,1,10,32.77777777777778
1762016,Prospect Heights,5,4,5,8,8,52.77777777777778
1763706,Richton Park,6,2,4,7,3,36.666666666666664
1764304,River Forest,6,7,9,10,9,82.22222222222221
