GEOID,MUNI,POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1757225,Palatine,67482,5,7,9,9,77.77777777777779
1757381,Palos Heights,12520,5,8,10,1,67.77777777777779
1757394,Palos Hills,17060,3,5,7,3,46.666666666666664
1757407,Palos Park,4736,7,8,10,5,78.88888888888889
1757732,Park Forest,21210,1,3,2,4,17.77777777777778
1757875,Park Ridge,36950,6,9,10,3,76.66666666666667
1759572,Phoenix,1908,1,1,1,10,20
1761314,Posen,5865,2,3,1,10,27.77777777777778
1762016,Prospect Heights,15887,4,6,8,7,64.44444444444444
1763706,Richton Park,13292,2,4,7,4,44.44444444444444
1764304,River Forest,10816,7,10,10,9,94.44444444444444
1764343,River Grove,9883,4,4,4,7,40
1764278,Riverdale,13077,1,1,1,7,13.333333333333334
1764421,Riverside,8563,5,9,10,9,88.88888888888889
1764616,Robbins,5438,1,1,1,4,6.666666666666667
1765338,Rolling Meadows,23532,6,6,10,6,73.33333333333333
1765806,Roselle,22463,6,8,10,9,86.66666666666667
1765819,Rosemont,4066,10,4,7,9,64.44444444444444
1767769,Sauk Village,10246,1,2,1,9,21.11111111111111
1768003,Schaumburg,72887,8,7,9,9,81.11111111111111
1768081,Schiller Park,11403,6,4,10,7,68.88888888888889
1770122,Skokie,62700,7,7,10,5,75.55555555555556
1770564,South Barrington,4996,9,10,10,10,98.88888888888889
1770629,South Chicago Heights,4003,5,2,1,10,27.77777777777778
1770850,South Holland,21296,3,5,5,2,35.55555555555556
1772520,Steger,9221,2,3,8,7,52.22222222222223
1772676,Stickney,6566,3,5,1,5,24.444444444444443
1772923,Stone Park,4826,2,5,1,2,16.666666666666664
1773157,Streamwood,39228,4,7,8,6,65.55555555555556
1773638,Summit,11116,3,3,1,4,15.555555555555555
1775185,Thornton,2401,4,4,10,4,60
1775484,Tinley Park,55773,6,7,10,9,83.33333333333334
1776935,University Park,6887,3,4,6,4,41.11111111111111
1780047,Westchester,16117,5,7,9,7,73.33333333333333
1780242,Western Springs,13359,7,10,10,9,94.44444444444444
1781087,Wheeling,38646,5,6,5,2,41.11111111111111
1782049,Willow Springs,5621,5,8,10,9,85.55555555555556
1782075,Wilmette,27089,8,10,10,9,95.55555555555556
1782530,Winnetka,12316,9,10,10,9,96.66666666666667
1783518,Worth,10466,3,4,10,9,70
