GEOID,MUNI,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1743744,Lincolnwood,6,8,9,10,1,67.77777777777779
1745421,Lynwood,7,2,4,1,10,34.44444444444444
1745434,Lyons,6,4,3,5,4,36.666666666666664
1747007,Markham,6,2,1,1,2,14.444444444444443
1747540,Matteson,4,6,8,9,2,53.888888888888886
1747774,Maywood,4,1,3,1,6,16.666666666666664
1745564,McCook,10,10,5,10,10,91.66666666666666
1748242,Melrose Park,3,6,3,2,5,37.22222222222222
1748554,Merrionette Park,10,6,4,10,5,63.888888888888886
1748892,Midlothian,5,3,5,7,8,43.888888888888886
1750647,Morton Grove,4,7,8,8,5,61.66666666666667
1751089,Mount Prospect,2,8,7,7,9,66.11111111111111
1753000,Niles,3,9,5,7,1,55.55555555555556
1753377,Norridge,5,7,6,10,1,56.666666666666664
1754144,North Riverside,8,9,5,10,8,80.55555555555556
1753481,Northbrook,3,9,10,10,3,72.22222222222221
1753663,Northfield,9,10,9,10,9,95
1753871,Northlake,6,6,4,8,5,53.888888888888886
1754534,Oak Brook,7,10,10,10,10,95
1754638,Oak Forest,3,3,7,10,8,48.888888888888886
1754820,Oak Lawn,1,5,5,7,2,36.11111111111111
1754885,Oak Park,2,4,8,10,7,51.66666666666667
1755938,Olympia Fields,9,6,9,10,4,68.88888888888889
1756627,Orland Hills,8,5,8,10,8,67.77777777777779
1756640,Orland Park,1,8,8,10,5,64.44444444444444
1757225,Palatine,1,5,7,9,9,54.44444444444444
1757381,Palos Heights,6,5,8,10,1,52.77777777777778
1757394,Palos Hills,5,3,5,7,4,37.22222222222222
1757407,Palos Park,9,7,8,10,5,73.33333333333333
1757732,Park Forest,4,1,4,2,3,15
1757875,Park Ridge,2,6,9,10,3,55.55555555555556
1759572,Phoenix,10,1,2,1,10,31.666666666666664
1761314,Posen,8,2,2,1,10,32.77777777777778
1762016,Prospect Heights,5,4,5,8,8,50
1763706,Richton Park,6,2,4,7,3,31.11111111111111
1764304,River Forest,6,7,9,10,9,76.66666666666667
1764343,River Grove,7,4,3,4,8,43.333333333333336
1764278,Riverdale,6,1,1,1,7,18.333333333333332
1764421,Riverside,7,4,9,10,9,65
1764616,Robbins,9,1,1,1,4,18.333333333333332
1765338,Rolling Meadows,4,6,6,10,6,58.88888888888889
1765806,Roselle,4,5,8,10,9,62.77777777777778
1765819,Rosemont,9,10,4,7,8,80
1767769,Sauk Village,7,1,2,1,9,25
1768003,Schaumburg,1,8,7,9,9,67.77777777777779
1768081,Schiller Park,6,6,4,10,7,60.55555555555555
1770122,Skokie,1,7,7,10,5,58.333333333333336
1770564,South Barrington,9,9,10,10,10,93.88888888888889
1770629,South Chicago Heights,9,5,1,1,10,46.111111111111114
1770850,South Holland,4,3,5,5,2,28.888888888888886
1772520,Steger,7,2,3,8,6,37.77777777777778
1772676,Stickney,8,3,6,1,5,35.55555555555556
1772923,Stone Park,9,2,2,1,2,21.11111111111111
1773157,Streamwood,2,4,8,8,7,48.333333333333336
1773638,Summit,6,3,3,1,5,27.22222222222222
1775185,Thornton,10,3,5,10,4,50.55555555555556
1775484,Tinley Park,1,6,7,10,9,60.55555555555555
1776935,University Park,8,3,3,6,5,38.88888888888889
1780047,Westchester,5,5,7,9,6,56.111111111111114
1780242,Western Springs,6,6,10,10,10,75.55555555555556
1781087,Wheeling,2,5,5,5,3,36.11111111111111
1782049,Willow Springs,8,4,9,10,9,66.66666666666666
1782075,Wilmette,3,8,10,10,9,77.77777777777779
1782530,Winnetka,6,9,10,10,9,87.22222222222223
1783518,Worth,6,3,4,10,9,50.55555555555556
