"","GEOID","MUNI","COHORT","WEIGHTED_SCORE","SCORE_ln_POP","SCORE_ln_TAX_BASE_PER_CAP","SCORE_ln_MED_HH_INC","SCORE_PCT_EDA_POP"
"125",1740793,"La Grange Park","2",58.3333333333333,6,4,7,8
"126",1740884,"Lake Barrington","1",69.4444444444444,4,8,7,10
"127",1740910,"Lake Bluff","1",83.3333333333333,4,10,10,10
"128",1741105,"Lake Forest","1",91.6666666666667,7,10,10,10
"129",1741183,"Lake in the Hills","1",69.4444444444444,8,4,7,10
"130",1741586,"Lake Villa","2",63.8888888888889,5,4,8,10
"131",1741742,"Lake Zurich","1",80.5555555555556,7,8,8,10
"132",1741326,"Lakemoor","2",61.1111111111111,4,6,6,10
"133",1741651,"Lakewood","1",66.6666666666667,3,5,10,10
"134",1742028,"Lansing","2",50,8,3,2,9
"135",1742795,"Lemont","1",75,7,6,8,10
"136",1743250,"Libertyville","1",88.8888888888889,7,9,10,10
"137",1743406,"Lily Lake","2",52.7777777777778,1,4,8,10
"138",1743666,"Lincolnshire","1",77.7777777777778,4,9,9,10
"139",1743744,"Lincolnwood","1",69.4444444444444,6,9,6,8
"140",1743770,"Lindenhurst","2",63.8888888888889,6,3,8,10
"141",1743900,"Lisbon","4",36.1111111111111,1,2,4,10
"142",1743939,"Lisle","1",75,8,7,7,9
"143",1744225,"Lockport","1",69.4444444444444,8,5,6,10
"144",1744407,"Lombard","1",69.4444444444444,9,7,5,8
"145",1744524,"Long Grove","1",83.3333333333333,5,9,10,10
"146",1745421,"Lynwood","2",52.7777777777778,5,2,6,10
"147",1745434,"Lyons","3",44.4444444444444,5,3,3,9
"148",1746357,"Manhattan","2",61.1111111111111,5,3,8,10
"149",1746604,"Maple Park","3",44.4444444444444,1,2,7,10
"150",1746786,"Marengo","3",44.4444444444444,4,3,3,10
"151",1747007,"Markham","4",33.3333333333333,6,1,1,8
"152",1747540,"Matteson","1",66.6666666666667,7,6,5,10
"153",1747774,"Maywood","4",30.5555555555556,7,1,2,5
"154",1745564,"McCook","3",41.6666666666667,1,10,3,5
"155",1745616,"McCullom Lake","4",27.7777777777778,1,1,3,9
"156",1745694,"McHenry","2",63.8888888888889,8,6,4,9
"157",1748242,"Melrose Park","2",50,8,6,2,6
"158",1748554,"Merrionette Park","3",38.8888888888889,1,7,1,9
"159",1748671,"Mettawa","1",69.4444444444444,1,10,8,10
"160",1748892,"Midlothian","4",36.1111111111111,6,2,2,7
"161",1749100,"Millbrook","3",44.4444444444444,1,3,6,10
"162",1749308,"Millington","3",38.8888888888889,1,2,5,10
"163",1749607,"Minooka","2",61.1111111111111,6,3,7,10
"164",1749854,"Mokena","1",80.5555555555556,7,8,8,10
"165",1749945,"Monee","2",61.1111111111111,3,9,4,10
"166",1750218,"Montgomery","1",72.2222222222222,7,6,7,10
"167",1750647,"Morton Grove","2",63.8888888888889,8,6,6,7
"168",1751089,"Mount Prospect","1",75,9,8,6,8
"169",1751349,"Mundelein","1",66.6666666666667,8,5,6,9
"170",1751622,"Naperville","1",91.6666666666667,10,8,9,10
"171",1752584,"New Lenox","1",80.5555555555556,8,7,8,10
"172",1752103,"Newark","2",47.2222222222222,1,3,7,10
"173",1753000,"Niles","2",63.8888888888889,8,9,3,7
"174",1753377,"Norridge","2",50,6,7,4,5
"175",1753442,"North Aurora","1",69.4444444444444,7,7,5,10
"176",1753455,"North Barrington","1",75,2,9,10,10
"177",1753559,"North Chicago","4",27.7777777777778,8,1,1,4
"178",1754144,"North Riverside","2",55.5555555555556,4,9,2,9
"179",1753481,"Northbrook","1",88.8888888888889,8,9,9,10
"180",1753663,"Northfield","1",83.3333333333333,4,10,10,10
"181",1753871,"Northlake","2",55.5555555555556,6,7,3,8
"182",1754534,"Oak Brook","1",77.7777777777778,5,10,9,8
"183",1754638,"Oak Forest","2",55.5555555555556,8,2,5,9
"184",1754820,"Oak Lawn","2",52.7777777777778,9,5,3,6
"185",1754885,"Oak Park","2",61.1111111111111,9,5,6,6
"186",1754560,"Oakbrook Terrace","2",52.7777777777778,2,10,2,9
"187",1755041,"Oakwood Hills","2",47.2222222222222,2,2,8,9
"188",1755639,"Old Mill Creek","2",52.7777777777778,1,5,7,10
"189",1755938,"Olympia Fields","2",55.5555555555556,3,6,6,9
"190",1756627,"Orland Hills","2",58.3333333333333,4,5,6,10
"191",1756640,"Orland Park","1",77.7777777777778,9,8,6,9
"192",1756887,"Oswego","1",75,8,6,7,10
"193",1757225,"Palatine","1",69.4444444444444,10,5,5,9
"194",1757381,"Palos Heights","1",66.6666666666667,6,6,7,9
"195",1757394,"Palos Hills","2",47.2222222222222,7,2,3,9
"196",1757407,"Palos Park","1",66.6666666666667,3,7,8,10
"197",1757654,"Park City","4",33.3333333333333,4,1,1,10
"198",1757732,"Park Forest","4",33.3333333333333,7,1,2,6
"199",1757875,"Park Ridge","1",80.5555555555556,9,7,9,8
"200",1759052,"Peotone","2",52.7777777777778,3,5,5,10
"201",1759572,"Phoenix","4",0,1,1,1,1
"202",1759988,"Pingree Grove","2",55.5555555555556,5,3,6,10
"203",1760287,"Plainfield","1",83.3333333333333,9,6,9,10
"204",1760352,"Plano","2",52.7777777777778,5,4,5,9
"205",1760391,"Plattville","2",47.2222222222222,1,4,6,10
"206",1761216,"Port Barrington","2",55.5555555555556,1,4,9,10
"207",1761314,"Posen","3",38.8888888888889,4,2,2,10
"208",1761678,"Prairie Grove","2",63.8888888888889,1,8,8,10
"209",1762016,"Prospect Heights","2",47.2222222222222,6,4,4,7
"210",1763641,"Richmond","3",41.6666666666667,2,5,2,10
"211",1763706,"Richton Park","3",44.4444444444444,6,2,3,9
"212",1764135,"Ringwood","2",61.1111111111111,1,7,9,9
"213",1764304,"River Forest","1",77.7777777777778,6,7,9,10
"214",1764343,"River Grove","2",47.2222222222222,5,4,3,9
"215",1764278,"Riverdale","4",11.1111111111111,5,1,1,1
"216",1764421,"Riverside","1",66.6666666666667,5,4,9,10
"217",1764538,"Riverwoods","1",77.7777777777778,3,9,10,10
"218",1764616,"Robbins","4",5.55555555555556,3,1,1,1
"219",1764902,"Rockdale","4",30.5555555555556,2,7,1,5
"220",1765338,"Rolling Meadows","1",66.6666666666667,8,6,5,9
"221",1765442,"Romeoville","1",69.4444444444444,9,6,5,9
"222",1765806,"Roselle","1",66.6666666666667,7,6,6,9
"223",1765819,"Rosemont","2",47.2222222222222,3,10,2,6
"224",1766027,"Round Lake","2",55.5555555555556,7,2,5,10
"225",1766040,"Round Lake Beach","2",55.5555555555556,8,3,4,9
"226",1766053,"Round Lake Heights","4",36.1111111111111,2,1,4,10
"227",1766066,"Round Lake Park","4",30.5555555555556,4,1,1,9
"228",1767548,"Sandwich","2",47.2222222222222,4,3,4,10
"229",1767769,"Sauk Village","4",33.3333333333333,5,1,1,9
"230",1768003,"Schaumburg","1",77.7777777777778,10,9,5,8
"231",1768081,"Schiller Park","2",52.7777777777778,6,6,2,9
"232",1769758,"Shorewood","1",77.7777777777778,7,7,8,10
"233",1770122,"Skokie","2",61.1111111111111,9,7,4,6
"234",1770161,"Sleepy Hollow","2",58.3333333333333,2,4,9,10
"235",1770564,"South Barrington","1",77.7777777777778,3,9,10,10
"236",1770629,"South Chicago Heights","4",36.1111111111111,3,5,1,8
"237",1770720,"South Elgin","1",77.7777777777778,8,6,8,10
"238",1770850,"South Holland","2",47.2222222222222,7,3,3,8
"239",1772052,"Spring Grove","1",69.4444444444444,4,6,9,10
"240",1766703,"St. Charles","1",77.7777777777778,8,8,7,9
"241",1772520,"Steger","4",30.5555555555556,5,1,1,8
"242",1772676,"Stickney","4",25,4,2,2,5
"243",1772923,"Stone Park","4",30.5555555555556,3,1,3,8
"244",1773157,"Streamwood","1",66.6666666666667,9,4,5,10
"245",1773391,"Sugar Grove","1",66.6666666666667,5,6,7,10
"246",1773638,"Summit","4",19.4444444444444,5,2,1,3
"247",1774275,"Symerton","2",50,1,9,2,10
"248",1775081,"Third Lake","2",63.8888888888889,1,7,9,10
"249",1775185,"Thornton","4",22.2222222222222,2,3,2,5
"250",1775484,"Tinley Park","1",69.4444444444444,9,6,5,9
"251",1775874,"Tower Lakes","2",63.8888888888889,1,6,10,10
"252",1776160,"Trout Valley","2",58.3333333333333,1,5,10,9
"253",1776706,"Union","2",55.5555555555556,1,6,7,10
"254",1776935,"University Park","3",38.8888888888889,4,2,3,9
"255",1777694,"Vernon Hills","1",83.3333333333333,8,9,7,10
"256",1777993,"Villa Park","2",58.3333333333333,7,6,5,7
"257",1778175,"Virgil","3",41.6666666666667,1,2,6,10
"258",1778227,"Volo","2",63.8888888888889,4,5,8,10
"259",1778370,"Wadsworth","2",58.3333333333333,2,6,7,10
"260",1778929,"Warrenville","2",63.8888888888889,6,6,5,10
"261",1779267,"Wauconda","2",63.8888888888889,6,5,7,9
"262",1779293,"Waukegan","2",50,10,3,2,7
