MUNI,INC_SCORE,TBPC_SCORE,TB_SCORE,POP_SCORE,FINAL_SCORE,COHORT
McHenry,9,13,14,14,61.0,1
Melrose Park,3,14,14,14,53.5,2
Merrionette Park,3,12,3,3,28.5,3
Mettawa,20,20,8,1,72.5,1
Midlothian,7,5,8,10,35.0,3
Millbrook,10,6,1,0,25.5,3
Millington,8,2,1,1,17.0,4
Minooka,13,14,10,9,60.0,1
Mokena,16,17,14,12,76.5,1
Monee,10,8,5,5,37.0,3
Montgomery,12,12,12,12,60.0,1
Morton Grove,11,15,14,13,66.5,1
Mount Prospect,9,17,18,17,74.5,1
Mundelein,13,11,14,15,64.5,1
Naperville,18,17,19,18,90.0,1
New Lenox,17,14,14,14,74.5,1
Newark,10,6,1,2,26.5,3
Niles,6,19,17,15,70.5,1
Norridge,7,16,12,10,57.5,1
North Aurora,12,15,12,11,64.0,1
North Barrington,20,19,7,3,70.5,1
North Chicago,1,2,9,15,25.5,3
North Riverside,7,20,11,6,60.0,1
Northbrook,19,19,17,15,90.0,1
Northfield,17,20,11,5,74.5,1
Northlake,3,14,10,9,45.0,2
Oak Brook,19,20,16,7,86.0,1
Oak Forest,10,4,10,14,43.0,2
Oak Lawn,7,10,16,17,58.0,1
Oak Park,13,9,15,17,64.0,1
Oakbrook Terrace,10,20,9,3,60.0,1
Oakwood Hills,14,5,2,3,33.0,3
Old Mill Creek,13,15,0,0,42.0,2
Olympia Fields,15,13,6,5,53.5,2
Orland Hills,13,10,7,6,48.0,2
Orland Park,13,17,18,17,80.5,1
Oswego,16,12,14,15,70.5,1
Palatine,11,10,16,17,64.0,1
Palos Heights,11,11,9,9,51.0,2
Palos Hills,6,5,8,11,34.0,3
Palos Park,12,15,7,5,53.5,2
Park City,1,1,3,7,11.0,4
Park Forest,3,0,5,12,18.0,4
Park Ridge,15,14,15,15,73.5,1
Peotone,11,11,5,4,42.5,2
Phoenix,1,0,1,3,4.5,4
Pingree Grove,11,7,5,6,37.5,3
Plainfield,19,12,15,16,77.0,1
Plano,6,7,8,9,36.0,3
Plattville,12,4,0,0,24.0,4
Port Barrington,19,8,2,2,44.5,2
Posen,1,2,3,6,12.0,4
Prairie Grove,18,18,4,2,61.0,1
Prospect Heights,6,8,9,11,40.0,3
Richmond,2,11,3,3,25.5,3
Richton Park,4,3,6,10,24.5,4
Ringwood,18,12,2,1,48.5,2
River Forest,17,16,10,9,69.0,1
River Grove,2,8,7,8,29.5,3
Riverdale,0,1,4,10,12.5,4
Riverside,16,9,7,8,52.0,2
Riverwoods,20,20,8,4,74.0,1
