GEOID,MUNI,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1701010,Alsip,7,6,4,10,9,68.88888888888889
1702154,Arlington Heights,10,7,8,9,7,80
1703844,Barrington,4,9,10,10,8,80
1703883,Barrington Hills,2,9,10,10,10,80
1704013,Bartlett,9,4,9,9,9,77.77777777777779
1704572,Bedford Park,1,10,6,10,10,71.11111111111111
1704975,Bellwood,7,2,4,2,6,35.55555555555556
1705248,Bensenville,7,7,5,8,9,68.88888888888889
1705404,Berkeley,2,3,6,10,10,57.77777777777777
1705573,Berwyn,9,2,5,3,5,42.22222222222222
1706704,Blue Island,7,2,2,1,5,26.666666666666668
1708225,Bridgeview,6,7,4,8,2,48.888888888888886
1708446,Broadview,3,6,4,4,4,35.55555555555556
1708576,Brookfield,7,3,7,3,9,53.333333333333336
1709447,Buffalo Grove,9,7,9,10,7,82.22222222222221
1709642,Burbank,8,3,4,4,4,40
1709798,Burnham,2,1,2,1,4,11.11111111111111
1709980,Burr Ridge,5,9,10,10,9,84.44444444444444
1710487,Calumet City,9,3,2,1,9,42.22222222222222
1710513,Calumet Park,3,2,3,5,7,33.33333333333333
1714026,Chicago Heights,8,2,3,2,3,28.888888888888886
1714065,Chicago Ridge,6,6,3,5,1,35.55555555555556
1714351,Cicero,10,2,3,1,3,31.11111111111111
1716691,Country Club Hills,6,2,5,6,1,33.33333333333333
1716873,Countryside,3,10,4,10,10,71.11111111111111
1717497,Crestwood,5,7,4,9,2,48.888888888888886
1719083,Deer Park,2,9,10,10,10,80
1718992,Deerfield,7,9,10,10,6,82.22222222222221
1719642,Des Plaines,10,7,6,9,2,64.44444444444444
1720149,Dixmoor,2,1,2,1,10,24.444444444444443
1720292,Dolton,7,2,3,1,4,26.666666666666668
1721696,East Dundee,1,8,6,10,10,66.66666666666666
1721904,East Hazel Crest,1,2,5,10,1,31.11111111111111
1723074,Elgin,10,4,6,5,9,64.44444444444444
1723256,Elk Grove Village,8,9,7,10,3,71.11111111111111
1723620,Elmhurst,9,8,9,10,9,88.88888888888889
1723724,Elmwood Park,7,3,4,6,4,42.22222222222222
1724582,Evanston,10,6,7,10,4,71.11111111111111
1724634,Evergreen Park,7,6,6,8,5,60
1726571,Flossmoor,4,4,9,10,3,55.55555555555556
1726710,Ford Heights,1,1,1,1,7,13.333333333333334
1726935,Forest Park,5,6,4,10,6,57.77777777777777
1726987,Forest View,1,10,5,10,10,68.88888888888889
1727624,Frankfort,7,8,10,10,9,86.66666666666667
1727702,Franklin Park,6,6,5,10,5,60
1729652,Glencoe,4,9,10,10,10,84.44444444444444
1729938,Glenview,9,8,9,10,3,75.55555555555556
1730029,Glenwood,4,2,5,7,6,42.22222222222222
1730328,Golf,1,8,10,10,10,75.55555555555556
1732746,Hanover Park,9,4,7,6,8,64.44444444444444
1733383,Harvey,8,1,1,1,4,22.22222222222222
1733435,Harwood Heights,4,6,4,10,5,53.333333333333336
1733695,Hazel Crest,5,1,4,4,2,24.444444444444443
1734514,Hickory Hills,6,4,6,7,9,60
1735086,Hillside,4,7,4,10,7,60
1735307,Hinsdale,6,9,10,10,8,84.44444444444444
1735385,Hodgkins,1,10,3,10,10,64.44444444444444
1735411,Hoffman Estates,9,5,8,9,9,77.77777777777779
1735835,Homer Glen,8,6,9,10,10,84.44444444444444
1735866,Hometown,2,2,3,1,6,20
1735879,Homewood,7,5,7,7,2,51.11111111111111
1737257,Indian Head Park,2,5,8,10,10,66.66666666666666
1737608,Inverness,3,7,10,10,10,77.77777777777779
1738830,Justice,5,1,3,5,8,37.77777777777778
1739519,Kenilworth,1,9,10,10,10,77.77777777777779
1740767,La Grange,6,6,10,10,4,68.88888888888889
1740793,La Grange Park,5,4,9,7,4,53.333333333333336
1742028,Lansing,8,4,3,5,9,53.333333333333336
1742795,Lemont,6,6,9,10,8,75.55555555555556
1743744,Lincolnwood,5,8,9,10,1,62.22222222222222
1745421,Lynwood,4,2,4,1,10,35.55555555555556
1745434,Lyons,4,4,3,5,4,33.33333333333333
1747007,Markham,5,2,1,1,2,13.333333333333334
1747540,Matteson,7,6,8,9,2,60
1747774,Maywood,7,1,3,1,6,28.888888888888886
1745564,McCook,1,10,5,10,10,68.88888888888889
1748242,Melrose Park,8,6,3,2,5,42.22222222222222
1748554,Merrionette Park,1,6,4,10,5,46.666666666666664
1748892,Midlothian,6,3,5,7,8,53.333333333333336
1750647,Morton Grove,7,7,8,8,5,66.66666666666666
1751089,Mount Prospect,9,8,7,7,9,77.77777777777779
1753000,Niles,8,9,5,7,1,55.55555555555556
1753377,Norridge,6,7,6,10,1,55.55555555555556
1754144,North Riverside,3,9,5,10,8,66.66666666666666
1753481,Northbrook,8,9,10,10,3,77.77777777777779
1753663,Northfield,2,10,9,10,9,77.77777777777779
1753871,Northlake,5,6,4,8,5,51.11111111111111
1754534,Oak Brook,4,10,10,10,10,86.66666666666667
1754638,Oak Forest,8,3,7,10,8,68.88888888888889
1754820,Oak Lawn,10,5,5,7,2,53.333333333333336
1754885,Oak Park,9,4,8,10,7,73.33333333333333
1755938,Olympia Fields,2,6,9,10,4,57.77777777777777
1756627,Orland Hills,3,5,8,10,8,64.44444444444444
1756640,Orland Park,10,8,8,10,5,80
1757225,Palatine,10,5,7,9,9,77.77777777777779
1757381,Palos Heights,5,5,8,10,1,53.333333333333336
1757394,Palos Hills,6,3,5,7,4,44.44444444444444
1757407,Palos Park,2,7,8,10,5,60
1757732,Park Forest,7,1,4,2,3,26.666666666666668
1757875,Park Ridge,9,6,9,10,3,71.11111111111111
1759572,Phoenix,1,1,2,1,10,22.22222222222222
1761314,Posen,3,2,2,1,10,28.888888888888886
1762016,Prospect Heights,6,4,5,8,8,57.77777777777777
1763706,Richton Park,5,2,4,7,3,35.55555555555556
1764304,River Forest,5,7,9,10,9,77.77777777777779
1764343,River Grove,4,4,3,4,8,40
