GEOID,MUNI,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP,SCORE_ln_COVID_DEATH_RATE,SCORE_OVERALL_SCALED
1764278,Riverdale,5,1,1,1,7,22.22222222222222
1764421,Riverside,4,4,9,10,9,68.88888888888889
1764616,Robbins,2,1,1,1,4,8.88888888888889
1765338,Rolling Meadows,7,6,6,10,6,66.66666666666666
1765806,Roselle,7,5,8,10,9,75.55555555555556
1765819,Rosemont,2,10,4,7,8,57.77777777777777
1767769,Sauk Village,4,1,2,1,9,26.666666666666668
1768003,Schaumburg,10,8,7,9,9,84.44444444444444
1768081,Schiller Park,5,6,4,10,7,60
1770122,Skokie,10,7,7,10,5,75.55555555555556
1770564,South Barrington,2,9,10,10,10,80
1770629,South Chicago Heights,2,5,1,1,10,31.11111111111111
1770850,South Holland,7,3,5,5,2,37.77777777777778
1772520,Steger,4,2,3,8,6,40
1772676,Stickney,3,3,5,1,5,26.666666666666668
1772923,Stone Park,2,2,2,1,2,8.88888888888889
1773157,Streamwood,9,4,8,8,7,68.88888888888889
1773638,Summit,5,3,3,1,5,26.666666666666668
1775185,Thornton,1,3,5,10,4,40
1775484,Tinley Park,10,6,7,10,9,82.22222222222221
1776935,University Park,3,3,3,6,5,33.33333333333333
1780047,Westchester,6,5,7,9,6,62.22222222222222
1780242,Western Springs,5,6,10,10,10,80
1781087,Wheeling,9,5,5,5,3,48.888888888888886
1782049,Willow Springs,3,4,9,10,9,66.66666666666666
1782075,Wilmette,8,8,10,10,9,88.88888888888889
1782530,Winnetka,5,9,10,10,9,84.44444444444444
1783245,Woodridge,8,6,8,10,9,80
1783518,Worth,5,3,4,10,9,57.77777777777777
