CCA_ID,CCA_NAME,WEIGHTED_SCORE_3YR,COHORT_3YR
14,Albany Park,45.370370370370374,2
57,Archer Heights,37.96296296296296,3
34,Armour Square,37.96296296296296,3
70,Ashburn,44.44444444444445,3
71,Auburn Gresham,30.555555555555554,4
25,Austin,31.481481481481485,4
45,Avalon Park,48.148148148148145,2
21,Avondale,53.703703703703695,2
19,Belmont Cragin,35.18518518518518,4
72,Beverly,76.85185185185185,1
60,Bridgeport,49.074074074074076,2
58,Brighton Park,31.481481481481485,4
47,Burnside,37.03703703703704,3
48,Calumet Heights,51.85185185185185,2
44,Chatham,37.03703703703704,3
66,Chicago Lawn,26.85185185185185,4
64,Clearing,54.629629629629626,2
35,Douglas,41.666666666666664,3
17,Dunning,55.555555555555564,2
27,East Garfield Park,29.62962962962963,4
52,East Side,27.777777777777782,4
77,Edgewater,57.40740740740741,2
9,Edison Park,80.55555555555556,1
68,Englewood,25.925925925925924,4
12,Forest Glen,84.25925925925925,1
37,Fuller Park,27.777777777777782,4
63,Gage Park,25,4
56,Garfield Ridge,57.40740740740741,2
38,Grand Boulevard,32.40740740740741,4
69,Greater Grand Crossing,30.555555555555554,4
55,Hegewisch,38.888888888888886,3
20,Hermosa,37.03703703703704,3
23,Humboldt Park,32.40740740740741,4
41,Hyde Park,56.48148148148149,2
16,Irving Park,53.7037037037037,2
11,Jefferson Park,59.25925925925927,2
39,Kenwood,38.88888888888889,3
6,Lake View,77.77777777777779,1
7,Lincoln Park,88.88888888888887,1
4,Lincoln Square,66.66666666666667,1
22,Logan Square,63.88888888888889,2
31,Lower West Side,39.81481481481481,3
59,McKinley Park,41.666666666666664,3
18,Montclare,37.03703703703704,3
75,Morgan Park,50.925925925925924,2
74,Mount Greenwood,50.925925925925924,2
8,Near North Side,93.51851851851852,1
33,Near South Side,87.03703703703702,1
28,Near West Side,76.85185185185185,1
61,New City,31.481481481481485,4
5,North Center,87.03703703703702,1
29,North Lawndale,29.62962962962963,4
13,North Park,50,2
10,Norwood Park,64.81481481481481,2
36,Oakland,27.777777777777782,4
76,O'Hare,56.48148148148149,2
15,Portage Park,55.555555555555564,2
50,Pullman,42.592592592592595,3
54,Riverdale,25,4
1,Rogers Park,40.74074074074074,3
49,Roseland,28.703703703703706,4
46,South Chicago,28.703703703703706,4
51,South Deering,38.888888888888886,3
30,South Lawndale,27.777777777777775,4
43,South Shore,30.555555555555557,4
32,The Loop,93.51851851851852,1
3,Uptown,55.555555555555564,2
73,Washington Heights,32.40740740740741,4
40,Washington Park,28.703703703703706,4
62,West Elsdon,32.40740740740741,4
67,West Englewood,27.777777777777775,4
26,West Garfield Park,28.703703703703706,4
65,West Lawn,35.18518518518518,4
53,West Pullman,26.85185185185185,4
2,West Ridge,43.51851851851851,3
24,West Town,78.7037037037037,1
42,Woodlawn,29.62962962962963,4
