GEOID,MUNI,WEIGHTED_SCORE_3YR,COHORT_3YR
1748671,Mettawa,73.14814814814815,1
1748892,Midlothian,40.74074074074074,3
1749100,Millbrook,47.22222222222222,2
1749308,Millington,35.18518518518518,4
1749607,Minooka,69.44444444444444,1
1749854,Mokena,80.55555555555556,1
1749945,Monee,55.555555555555564,2
1750218,Montgomery,72.22222222222221,1
1750647,Morton Grove,67.5925925925926,1
1751089,Mount Prospect,69.44444444444444,1
1751349,Mundelein,68.51851851851852,1
1751622,Naperville,88.88888888888887,1
1752584,New Lenox,78.70370370370371,1
1752103,Newark,46.2962962962963,2
1753000,Niles,63.888888888888886,2
1753377,Norridge,65.74074074074073,1
1753442,North Aurora,72.22222222222221,1
1753455,North Barrington,74.07407407407408,1
1753559,North Chicago,23.148148148148152,4
1754144,North Riverside,62.03703703703704,2
1753481,Northbrook,88.88888888888887,1
1753663,Northfield,80.55555555555556,1
1753871,Northlake,52.77777777777778,2
1754534,Oak Brook,85.18518518518519,1
1754638,Oak Forest,59.25925925925927,2
1754820,Oak Lawn,56.48148148148149,2
1754885,Oak Park,73.14814814814815,1
1754560,Oakbrook Terrace,47.22222222222223,2
1755041,Oakwood Hills,50.925925925925924,2
1755639,Old Mill Creek,55.555555555555564,2
1755938,Olympia Fields,61.111111111111114,2
1756627,Orland Hills,59.25925925925926,2
1756640,Orland Park,80.55555555555556,1
1756887,Oswego,72.22222222222221,1
1757225,Palatine,67.59259259259258,1
1757381,Palos Heights,64.81481481481481,2
1757394,Palos Hills,43.51851851851851,3
1757407,Palos Park,65.74074074074073,1
1757654,Park City,12.962962962962962,4
1757732,Park Forest,22.222222222222218,4
1757875,Park Ridge,81.48148148148148,1
1759052,Peotone,57.40740740740741,2
1759572,Phoenix,1.8518518518518519,4
1759988,Pingree Grove,55.555555555555564,2
1760287,Plainfield,81.48148148148148,1
1760352,Plano,55.555555555555564,2
1760391,Plattville,43.51851851851851,3
1761216,Port Barrington,57.40740740740741,2
1761314,Posen,9.259259259259258,4
1761678,Prairie Grove,67.59259259259258,1
1762016,Prospect Heights,49.074074074074076,2
1763641,Richmond,41.666666666666664,3
1763706,Richton Park,37.96296296296296,3
1764135,Ringwood,60.18518518518519,2
