CCA_ID,CCA_NAME,WEIGHTED_SCORE_3YR,COHORT_3YR
14,Albany Park,39.81481481481482,3
57,Archer Heights,34.25925925925926,4
34,Armour Square,33.33333333333333,4
70,Ashburn,47.22222222222222,2
71,Auburn Gresham,28.703703703703706,4
25,Austin,29.62962962962963,4
45,Avalon Park,49.074074074074076,2
21,Avondale,44.44444444444445,3
19,Belmont Cragin,33.33333333333333,4
72,Beverly,78.70370370370371,1
60,Bridgeport,40.74074074074075,3
58,Brighton Park,27.777777777777782,4
47,Burnside,32.407407407407405,4
48,Calumet Heights,49.074074074074076,2
44,Chatham,38.88888888888889,3
66,Chicago Lawn,27.777777777777782,4
64,Clearing,56.48148148148149,2
35,Douglas,39.81481481481482,3
17,Dunning,55.555555555555564,2
27,East Garfield Park,28.703703703703706,4
52,East Side,28.703703703703706,4
77,Edgewater,61.111111111111114,2
9,Edison Park,83.33333333333334,1
68,Englewood,27.777777777777782,4
12,Forest Glen,88.88888888888887,1
37,Fuller Park,30.555555555555557,4
63,Gage Park,27.777777777777782,4
56,Garfield Ridge,57.40740740740741,2
38,Grand Boulevard,32.407407407407405,4
69,Greater Grand Crossing,29.62962962962963,4
55,Hegewisch,35.18518518518518,4
20,Hermosa,30.555555555555557,4
23,Humboldt Park,27.777777777777782,4
41,Hyde Park,56.48148148148149,2
16,Irving Park,50,2
11,Jefferson Park,63.888888888888886,2
39,Kenwood,39.81481481481482,3
6,Lake View,82.4074074074074,1
7,Lincoln Park,91.66666666666667,1
4,Lincoln Square,67.5925925925926,1
22,Logan Square,59.25925925925926,2
31,Lower West Side,34.25925925925926,4
59,McKinley Park,34.25925925925926,4
18,Montclare,34.25925925925925,4
75,Morgan Park,55.555555555555564,2
74,Mount Greenwood,57.40740740740741,2
8,Near North Side,94.44444444444444,1
33,Near South Side,89.81481481481482,1
28,Near West Side,72.22222222222223,1
61,New City,28.703703703703706,4
5,North Center,89.81481481481482,1
29,North Lawndale,27.777777777777782,4
13,North Park,46.2962962962963,2
10,Norwood Park,68.51851851851852,1
76,O'Hare,58.333333333333336,2
36,Oakland,30.555555555555557,4
15,Portage Park,54.62962962962964,2
50,Pullman,45.370370370370374,2
54,Riverdale,25,4
1,Rogers Park,38.88888888888889,3
49,Roseland,28.703703703703706,4
46,South Chicago,28.703703703703706,4
51,South Deering,36.11111111111111,4
30,South Lawndale,27.777777777777782,4
43,South Shore,28.703703703703706,4
32,The Loop,94.44444444444444,1
3,Uptown,57.40740740740741,2
73,Washington Heights,32.407407407407405,4
40,Washington Park,27.777777777777782,4
62,West Elsdon,35.18518518518518,4
67,West Englewood,27.777777777777782,4
26,West Garfield Park,27.777777777777782,4
65,West Lawn,33.33333333333333,4
53,West Pullman,28.703703703703706,4
2,West Ridge,38.88888888888889,3
24,West Town,78.7037037037037,1
42,Woodlawn,27.777777777777782,4
