GEOID,MUNI,WEIGHTED_SCORE_3YR,COHORT_3YR
1700243,Addison,60.18518518518518,2
1700685,Algonquin,80.55555555555556,1
1701010,Alsip,58.333333333333336,2
1701595,Antioch,69.44444444444444,1
1702154,Arlington Heights,79.62962962962963,1
1703012,Aurora,51.85185185185185,2
1703610,Bannockburn,75,1
1703844,Barrington,82.4074074074074,1
1703883,Barrington Hills,77.77777777777779,1
1704013,Bartlett,72.22222222222221,1
1704078,Batavia,77.77777777777779,1
1704303,Beach Park,50,2
1704572,Bedford Park,65.74074074074073,1
1704585,Beecher,51.85185185185185,2
1704975,Bellwood,27.777777777777775,4
1705248,Bensenville,60.18518518518518,2
1705404,Berkeley,41.66666666666667,3
1705573,Berwyn,37.03703703703704,3
1705976,Big Rock,54.629629629629626,2
1706587,Bloomingdale,71.29629629629629,1
1706704,Blue Island,22.222222222222218,4
1707133,Bolingbrook,73.14814814814814,1
1707640,Braceville,32.4074074074074,4
1707770,Braidwood,45.370370370370374,2
1708225,Bridgeview,55.555555555555564,2
1708446,Broadview,35.18518518518518,4
1708576,Brookfield,39.81481481481482,3
1709447,Buffalo Grove,82.4074074074074,1
1709531,Bull Valley,62.03703703703704,2
1709642,Burbank,46.296296296296305,2
1709759,Burlington,47.22222222222222,2
1709798,Burnham,13.888888888888891,4
1709980,Burr Ridge,84.25925925925927,1
1710487,Calumet City,26.851851851851848,4
1710513,Calumet Park,22.222222222222225,4
1710906,Campton Hills,73.14814814814815,1
1711332,Carol Stream,73.14814814814814,1
1711358,Carpentersville,44.44444444444445,3
1711592,Cary,65.74074074074073,1
1712476,Channahon,66.66666666666666,1
1714000,Chicago,52.77777777777778,2
1714026,Chicago Heights,29.62962962962963,4
1714065,Chicago Ridge,43.518518518518526,3
1714351,Cicero,30.555555555555554,4
1714572,Clarendon Hills,73.14814814814814,1
1715170,Coal City,41.66666666666667,3
1716691,Country Club Hills,40.74074074074074,3
1716873,Countryside,65.74074074074073,1
1717458,Crest Hill,50,2
1717497,Crestwood,58.333333333333336,2
1717523,Crete,51.85185185185185,2
1717887,Crystal Lake,77.77777777777779,1
1718628,Darien,72.22222222222223,1
1719083,Deer Park,76.85185185185186,1
1718992,Deerfield,88.88888888888887,1
1719642,Des Plaines,71.29629629629629,1
1719837,Diamond,33.33333333333333,4
1720149,Dixmoor,12.037037037037038,4
1720292,Dolton,19.444444444444443,4
1720591,Downers Grove,83.33333333333334,1
1721696,East Dundee,54.62962962962964,2
1721904,East Hazel Crest,26.85185185185185,4
1722931,Elburn,62.96296296296296,2
1723074,Elgin,54.629629629629626,2
1723256,Elk Grove Village,77.77777777777779,1
1723620,Elmhurst,89.81481481481482,1
1723724,Elmwood Park,45.370370370370374,2
1723945,Elwood,51.851851851851855,2
1724582,Evanston,75.92592592592592,1
1724634,Evergreen Park,61.111111111111114,2
1726571,Flossmoor,64.81481481481481,2
1726710,Ford Heights,8.333333333333334,4
1726935,Forest Park,58.333333333333336,2
1726987,Forest View,62.03703703703704,2
1727442,Fox Lake,54.629629629629626,2
1727533,Fox River Grove,61.111111111111114,2
1727624,Frankfort,83.33333333333334,1
1727702,Franklin Park,63.888888888888886,2
1728872,Geneva,81.48148148148148,1
1729171,Gilberts,60.18518518518519,2
1729756,Glen Ellyn,81.48148148148148,1
1729652,Glencoe,86.11111111111113,1
1729730,Glendale Heights,59.25925925925926,2
1729938,Glenview,90.74074074074072,1
1730029,Glenwood,33.33333333333333,4
1730120,Godley,25,4
1730328,Golf,70.37037037037037,1
1731121,Grayslake,66.66666666666666,1
1731446,Green Oaks,66.66666666666666,1
1731667,Greenwood,43.51851851851851,3
1732018,Gurnee,80.55555555555556,1
1732200,Hainesville,43.51851851851851,3
1732525,Hampshire,59.25925925925926,2
1732746,Hanover Park,59.25925925925926,2
1733331,Harvard,29.62962962962963,4
1733383,Harvey,20.37037037037037,4
1733435,Harwood Heights,56.48148148148149,2
1733630,Hawthorn Woods,75.92592592592592,1
1733695,Hazel Crest,26.851851851851848,4
1733851,Hebron,37.03703703703704,3
1734514,Hickory Hills,48.14814814814815,2
1734722,Highland Park,90.74074074074072,1
1734865,Highwood,36.111111111111114,4
1735086,Hillside,55.555555555555564,2
1735307,Hinsdale,91.66666666666667,1
1735385,Hodgkins,52.77777777777778,2
1735411,Hoffman Estates,73.14814814814815,1
1735515,Holiday Hills,32.407407407407405,4
1735835,Homer Glen,77.77777777777779,1
1735866,Hometown,5.5555555555555545,4
1735879,Homewood,55.555555555555564,2
1736750,Huntley,66.66666666666666,1
1737218,Indian Creek,53.7037037037037,2
1737257,Indian Head Park,54.62962962962964,2
1737608,Inverness,74.07407407407408,1
1737894,Island Lake,53.7037037037037,2
1737907,Itasca,75,1
1738479,Johnsburg,64.81481481481481,2
1738570,Joliet,58.333333333333336,2
1738830,Justice,31.481481481481485,4
1738895,Kaneville,35.18518518518518,4
1739519,Kenilworth,77.77777777777779,1
1739883,Kildeer,77.77777777777779,1
1740767,La Grange,75.92592592592592,1
1740793,La Grange Park,54.62962962962964,2
1740884,Lake Barrington,67.59259259259258,1
1740910,Lake Bluff,83.33333333333334,1
1741105,Lake Forest,91.66666666666667,1
1741183,Lake in the Hills,69.44444444444444,1
1741586,Lake Villa,62.96296296296296,2
1741742,Lake Zurich,82.40740740740742,1
1741326,Lakemoor,62.03703703703704,2
1741651,Lakewood,66.66666666666666,1
1742028,Lansing,41.666666666666664,3
1742795,Lemont,75.92592592592592,1
1743250,Libertyville,87.96296296296298,1
1743406,Lily Lake,51.85185185185185,2
1743666,Lincolnshire,78.70370370370371,1
1743744,Lincolnwood,75,1
1743770,Lindenhurst,63.888888888888886,2
1743900,Lisbon,35.18518518518518,4
1743939,Lisle,75,1
1744225,Lockport,71.29629629629629,1
1744407,Lombard,67.5925925925926,1
1744524,Long Grove,81.48148148148148,1
1745421,Lynwood,30.555555555555557,4
1745434,Lyons,36.11111111111111,4
1746357,Manhattan,62.03703703703704,2
1746604,Maple Park,43.51851851851851,3
1746786,Marengo,44.444444444444436,3
1747007,Markham,23.14814814814815,4
1747540,Matteson,65.74074074074075,1
1747774,Maywood,19.444444444444446,4
1745564,McCook,55.555555555555564,2
1745616,McCullom Lake,30.555555555555554,4
1745694,McHenry,66.66666666666666,1
1748242,Melrose Park,47.22222222222223,2
1748554,Merrionette Park,41.66666666666667,3
1748671,Mettawa,73.14814814814815,1
1748892,Midlothian,37.03703703703704,3
1749100,Millbrook,50,2
1749308,Millington,36.11111111111111,4
1749607,Minooka,66.66666666666667,1
1749854,Mokena,80.55555555555556,1
1749945,Monee,62.03703703703704,2
1750218,Montgomery,69.44444444444444,1
1750647,Morton Grove,66.66666666666666,1
1751089,Mount Prospect,75,1
1751349,Mundelein,67.5925925925926,1
1751622,Naperville,88.88888888888887,1
1752584,New Lenox,80.55555555555556,1
1752103,Newark,50.925925925925924,2
1753000,Niles,65.74074074074075,1
1753377,Norridge,63.888888888888886,2
1753442,North Aurora,72.22222222222221,1
1753455,North Barrington,73.14814814814815,1
1753559,North Chicago,33.333333333333336,4
1754144,North Riverside,59.25925925925926,2
1753481,Northbrook,88.88888888888887,1
1753663,Northfield,82.40740740740742,1
1753871,Northlake,57.40740740740741,2
1754534,Oak Brook,84.25925925925927,1
1754638,Oak Forest,58.333333333333336,2
1754820,Oak Lawn,56.48148148148149,2
1754885,Oak Park,71.29629629629629,1
1754560,Oakbrook Terrace,46.296296296296305,2
1755041,Oakwood Hills,48.14814814814815,2
1755639,Old Mill Creek,49.074074074074076,2
1755938,Olympia Fields,58.333333333333336,2
1756627,Orland Hills,59.25925925925926,2
1756640,Orland Park,79.62962962962963,1
1756887,Oswego,71.29629629629629,1
1757225,Palatine,68.51851851851852,1
1757381,Palos Heights,66.66666666666666,1
1757394,Palos Hills,47.22222222222223,2
1757407,Palos Park,67.5925925925926,1
1757654,Park City,21.296296296296294,4
1757732,Park Forest,22.222222222222218,4
1757875,Park Ridge,83.33333333333333,1
1759052,Peotone,52.77777777777777,2
1759572,Phoenix,8.333333333333334,4
1759988,Pingree Grove,58.333333333333336,2
1760287,Plainfield,83.33333333333334,1
1760352,Plano,55.555555555555564,2
1760391,Plattville,50,2
1761216,Port Barrington,55.555555555555564,2
1761314,Posen,20.37037037037037,4
1761678,Prairie Grove,63.888888888888886,2
1762016,Prospect Heights,51.85185185185185,2
1763641,Richmond,41.66666666666667,3
1763706,Richton Park,39.81481481481482,3
1764135,Ringwood,63.888888888888886,2
1764304,River Forest,78.70370370370371,1
1764343,River Grove,38.888888888888886,3
1764278,Riverdale,12.037037037037038,4
1764421,Riverside,67.5925925925926,1
1764538,Riverwoods,75.92592592592592,1
1764616,Robbins,13.888888888888891,4
1764902,Rockdale,43.51851851851851,3
1765338,Rolling Meadows,69.44444444444444,1
1765442,Romeoville,67.5925925925926,1
1765806,Roselle,68.51851851851852,1
1765819,Rosemont,53.7037037037037,2
1766027,Round Lake,47.22222222222223,2
1766040,Round Lake Beach,45.370370370370374,2
1766053,Round Lake Heights,27.777777777777775,4
1766066,Round Lake Park,15.740740740740742,4
1767548,Sandwich,46.2962962962963,2
1767769,Sauk Village,15.74074074074074,4
1768003,Schaumburg,80.55555555555556,1
1768081,Schiller Park,55.555555555555564,2
