GEOID,MUNI,WEIGHTED_SCORE_3YR,COHORT_3YR
1769758,Shorewood,76.85185185185186,1
1770122,Skokie,74.07407407407408,1
1770161,Sleepy Hollow,58.333333333333336,2
1770564,South Barrington,77.77777777777779,1
1770629,South Chicago Heights,24.074074074074076,4
1770720,South Elgin,77.77777777777779,1
1770850,South Holland,41.66666666666667,3
1772052,Spring Grove,68.51851851851852,1
1766703,St. Charles,81.48148148148148,1
1772520,Steger,32.407407407407405,4
1772676,Stickney,23.148148148148152,4
1772923,Stone Park,19.444444444444443,4
1773157,Streamwood,62.96296296296296,2
1773391,Sugar Grove,67.59259259259258,1
1773638,Summit,23.148148148148152,4
1774275,Symerton,54.629629629629626,2
1775081,Third Lake,63.888888888888886,2
1775185,Thornton,37.03703703703704,3
1775484,Tinley Park,74.07407407407408,1
1775874,Tower Lakes,62.96296296296296,2
1776160,Trout Valley,59.25925925925927,2
1776706,Union,53.7037037037037,2
1776935,University Park,32.407407407407405,4
1777694,Vernon Hills,83.33333333333334,1
1777993,Villa Park,61.111111111111114,2
1778175,Virgil,42.592592592592595,3
1778227,Volo,64.81481481481481,2
1778370,Wadsworth,58.333333333333336,2
1778929,Warrenville,63.888888888888886,2
1779267,Wauconda,64.81481481481481,2
1779293,Waukegan,38.888888888888886,3
1779397,Wayne,68.51851851851852,1
1780060,West Chicago,63.888888888888886,2
1780125,West Dundee,62.03703703703704,2
1780047,Westchester,62.96296296296296,2
1780242,Western Springs,81.48148148148148,1
1780645,Westmont,72.22222222222221,1
1781048,Wheaton,77.77777777777779,1
1781087,Wheeling,57.40740740740741,2
1782049,Willow Springs,57.40740740740741,2
1781919,Willowbrook,70.37037037037037,1
1782075,Wilmette,88.88888888888887,1
1782101,Wilmington,46.2962962962963,2
1782400,Winfield,71.29629629629629,1
1782530,Winnetka,88.88888888888887,1
1782686,Winthrop Harbor,36.11111111111111,4
1782855,Wonder Lake,49.074074074074076,2
1782985,Wood Dale,64.81481481481481,2
1783245,Woodridge,70.37037037037037,1
1783349,Woodstock,58.333333333333336,2
1783518,Worth,40.74074074074075,3
1784038,Yorkville,67.59259259259258,1
1784220,Zion,38.88888888888889,3
